"PeakDecoderScore","FDR"
1,0
0.99,0
0.98,0.005
0.97,0.008
0.96,0.01
0.95,0.011
0.94,0.011
0.93,0.011
0.92,0.012
0.91,0.012
0.9,0.012
0.89,0.012
0.88,0.012
0.87,0.012
0.86,0.012
0.85,0.013
0.84,0.013
0.83,0.013
0.82,0.013
0.8,0.014
0.78,0.014
0.77,0.014
0.76,0.014
0.75,0.014
0.73,0.014
0.72,0.014
0.71,0.014
0.7,0.014
0.68,0.014
0.66,0.015
0.62,0.015
0.61,0.015
0.6,0.015
0.59,0.015
0.57,0.015
0.56,0.015
0.51,0.016
0.48,0.016
0.45,0.017
0.38,0.017
0.33,0.017
0.32,0.018
0.3,0.018
0.29,0.018
0.27,0.018
0.13,0.02
0.12,0.02
0.11,0.02
0.09,0.02
0.06,0.021
0.01,0.024
